Name,N,Breakfast,Lunch,Dinner,Snack,R,M,H,P,I,K,C,Other,serving_size,Q,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin, vitamin_a ,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
Food 341,341,1,0,0,0,0,0,0,0,0,0,6.1,1,160,1,78.4,30.24,8.32,3.2,30.4,0,0,0,0,0.06,0.03,0,0,0,0,3.2,0,14.4,0,0,0,0,0,0.26,0.24,0,0,0,2.4,8,0,30.4,17.6,0,0,0.35,0.16,0.01,0,0,0,0,0.05,0,0.35,0.16,0.1,0,0,0,0.14,0,0,0,0,2.02,10.56,0,0.05,0.06,0.14,0,0.02,0,21.86,14.86,2.63,0.48,1.6,0,0.08,0,0,130.51
Food 342,342,1,0,0,0,0,0,0,0,0,0,5,1,190,1,993.7,0.57,11.4,0,2701.8,11.59,108.3,1.9,6,0.32,0.67,2.31,294.5,0,0,34.2,0,32.3,0,0.23,0.31,0,1.9,11.23,0.72,13.11,209,0.23,4.09,28.5,2.49,1058.3,7392.9,10.07,19.4,10.79,0.3,0,0,0,0.66,0,0.29,0,0.27,0,0,0.12,0,0,0.1,0.17,0,0.03,0.24,162.05,15.01,64.39,0,0.08,0,1.96,0,0,17.18,19.38,3.89,10.13,0,0.19,2.13,0,0,3.97
Food 343,343,1,0,0,0,0,0,0,0,0,0,9,1,170,1,875.5,11.73,0.51,125.8,49.3,0,0,0,6.76,0.4,0.54,0.04,532.1,1035.3,0,15.3,0,22.1,0,0.17,0.09,1.02,0,0.36,1.21,0.51,207.4,0.22,5.08,20.4,0.18,450.5,503.2,30.94,4.69,10.74,0,0.78,0.72,0.12,0.88,3.31,0.26,0.13,1.5,2.31,0.09,0.84,1.56,1.87,1.88,1.93,0.05,0,2.09,105.89,0.17,2.94,0.02,0.05,0,0,0,0,42.38,7.22,13.6,36.5,547.4,0,2.18,0,200.6,95.06
Food 344,344,1,0,0,1,0,0,0,0,0,1,9.1,1,150,1,177,15.3,1.65,120,66,77.55,34.5,0,10.29,1.26,0.33,0.04,0,10.5,1.5,4.5,0,9,0,0.12,1.36,0,0,2.85,0.38,0.9,13.5,0.17,3.65,25.5,0.29,21,496.5,21.15,2.66,29.37,2.41,2.48,2.77,0.39,4.66,1.81,1.59,0.05,1.89,2.53,2.66,1.13,1.32,3,1.51,1.58,0.14,1.17,1.98,0,0,0,0,0,0.03,0.15,0,0,0.68,13.52,5.85,0.4,105,0,1.74,1.5,0,112.25
Food 345,345,1,0,0,0,0,0,0,0,0,0,2,1,200,1,838,18.2,0.2,2,1328,0,108,86,8.42,0,0.78,0.35,40876,262,2,16,2,28,0,0,0.32,0,0,2.6,0.46,0,314,0.32,5.28,26,0.35,38,274,2.4,0.78,17.78,0.02,0.05,0.45,0.32,1.51,0,0.04,0,0.28,0,0,0.18,0.08,0,0.17,0.05,0,0,0.03,112.7,7.2,10.4,0,0.1,0,0,0,0.08,11.54,3.64,0.1,1.76,0,0,4.64,28,0,7.46
Food 346,346,1,0,0,0,0,0,0,0,0,0,7.5,1,60,1,162,6.12,1.92,48.6,264,0.06,1.2,0,1.67,0.12,0.17,0.3,0,39,0.6,3.6,0,3,0,2.27,0.24,0,0,0.19,0.07,0,4.8,0.1,1.26,0,0.06,136.2,336.6,30.42,2.12,12.95,0.9,0.55,1.37,0.22,2.68,0.64,0.53,0.06,0.88,1.25,1.09,0.46,0.83,0.42,0.54,0.65,0.07,0.57,0.85,0.24,0,0.05,0,0.03,0,0.04,0.04,0,6.51,0.91,0.58,0.53,0.6,0.06,0.12,0.6,0,20.77
Food 347,347,1,0,0,1,0,0,0,0,0,1,8.8,1,50,1,215.5,6.75,0.35,35,37.5,0.05,3.5,0,3.7,0.8,0.21,0.32,33.5,0.5,0,4,0,0,0,0.09,0.17,0,11.5,0.13,0.05,0.4,9,0.05,1,10,0,121,173,15.9,3.32,13.74,0.97,0.87,1.14,0.13,2.08,0.8,0.54,0.06,0.64,0.9,0.98,0.35,0.49,0.52,0.55,0.58,0.07,0.39,0.64,0.02,0,0,0,0,0.03,0,0,0,7.83,1.11,4.42,1.61,30,0.05,0.71,0,0,16.8
Food 348,348,1,0,0,1,0,0,0,0,0,1,2.6,1,10,1,46.5,5.04,0,0,34.9,0.25,3.4,1.9,0.18,0.02,0.2,0,3576,1,0.1,1.6,0,0.6,0,0,0.01,0.06,0,0.04,0.04,4.66,40.8,0.02,0.36,1.2,0.01,4.5,29.4,0.07,0.18,0.49,0.02,0.04,0.05,0.01,0,0,0.01,0,0.02,0,0.01,0.01,0,0.01,0,0.01,0,0,0,8.39,0.42,0.24,0,0.01,0,0,0,0,0.07,0.91,0.01,0.06,0,0,0.23,0,0,0.29
Food 349,349,1,0,0,1,0,0,0,0,0,1,6,1,170,1,192.1,29.41,1.7,158.1,90.1,0,6.8,0,5.84,1.51,0.61,0.16,0,1.7,0,10.2,0,8.5,0,14.89,1.46,0,363.8,0.39,0.29,0,10.2,0.91,3.74,15.3,0,465.8,532.1,64.6,8.52,32.44,2.25,2.49,3.81,0.41,4.45,1.66,1.52,0.11,1.89,3.25,3.34,1.31,1.76,1.35,1.9,1.21,0.16,1.24,3,0.71,0,0,0,0.02,0.15,0.02,0.03,0.07,20.2,1.91,9.16,0.07,212.5,0,2.24,0,0,73.15
Food 350,350,1,0,0,1,0,0,0,0,0,1,5.5,1,110,1,410.3,57.42,2.97,2.2,987.8,3.3,77,0,7.46,3.43,0.17,2.5,95.7,405.9,1.1,6.6,0,14.3,0,0.02,0.34,3.96,0,1.27,0.3,0.33,524.7,0.16,3.31,22,1.16,248.6,150.7,1.32,2.7,8.95,0.21,0.16,0.19,0.11,0.7,0.16,0.24,0,0.11,0.61,0.05,0.09,0.2,0.98,0.07,0.05,0,0.04,0.16,70.16,6.49,2.59,0,0.04,0.07,0,0,0.04,7.55,0.32,0.18,0.24,1.1,0.11,1.12,1.1,0,35.02
Food 351,351,1,0,0,1,0,0,0,0,0,1,5.3,1,50,1,180,10.55,2.45,57.5,138.5,0,2,49,2.23,0.05,0.15,0.29,0,0,0,6,0.5,0,0,0,0.08,0,0,0.03,0.08,0.25,0,0.03,2.25,5,0.58,89.5,152,15.45,1.28,1.13,0,0.64,0.04,0.07,1.09,0,0.41,0.04,0.65,0,0.02,0,0,0,0.02,0.07,0,0.02,0,0.1,4.75,22.44,0.02,0,0.01,0,0.03,0.03,11.12,2.97,1.07,0,9,0,2,0,0,46.06
Food 352,352,1,0,0,0,0,0,0,0,0,0,1,1,110,1,284.9,3.74,0.22,0,259.6,0,305.8,0,4.31,0.12,0.25,1.29,0,0,1.1,3.3,1.1,4.4,0,0,0.1,0,0,0.07,0.18,0,36.3,0.92,2.48,42.9,0.08,9.9,115.5,0.88,0.09,7.47,0.02,1.25,0,0.1,2.67,0.01,0,0.02,0.15,0,0,0,0.62,0.72,0,0.04,0,0.01,0.28,88.46,17.82,8.5,0.02,0.06,0,0.03,0.06,0.12,10.57,7.5,0,0.9,0,0.11,10.73,1.1,0,1.96
Food 353,353,1,0,0,1,0,0,0,0,0,1,2.2,1,120,1,193.2,14.28,0,2.4,406.8,0,0,333.6,0.61,0,0.15,0.06,0,0,0,18,0,4.8,0,0.05,0.46,0,0,0.6,0.26,0,0,0.17,2.59,12,0.15,26.4,207.6,0.72,0,3.02,0.12,0,0.06,0.16,0,0,0.07,0,0.21,0,0.14,0,0,0,0.12,0.04,0,0,0.1,0.83,0.12,0.06,0,0.04,0.02,0.06,0,0,9.62,3.06,3.77,0.74,1.2,0,1.37,1.2,0,83.93
Food 354,354,1,0,0,1,0,0,0,0,0,1,2.7,1,30,1,113.4,2.52,0.03,4.8,195.3,0,1.2,11.1,1.3,0.24,0.09,0.17,20.1,0.9,0.6,3.9,0,0.9,0,0.52,0.26,0.03,11.1,0.35,0.02,0.18,3,0.05,0.84,5.1,0.03,69.9,139.8,7.17,0.12,7.19,0.57,0.48,0.69,0.04,1.02,0.34,0.29,0,0.36,0.49,0.62,0.19,0.24,0.28,0.3,0.27,0.07,0.25,0.35,21.36,0,0,0,0.01,0,0.02,0.02,8.87,1.33,0.94,3.11,1.89,30,0.03,1.16,0,0,12.46
Food 355,355,1,0,0,1,0,0,0,0,0,1,3,1,50,1,14,0,0,1.5,26.5,0,4,0.5,0.04,0,0.07,0,0,28,0.5,4.5,0,11,0,0,0.12,0,0,0.24,0.17,0,19.5,0,0.52,4.5,0.43,44,113.5,0.4,0,1.88,0,0,0,0.11,0,0,0.06,0.06,0.05,0,0,0.11,0,0,0.02,0,0,0,0.06,41.56,1.95,0.59,0,0.05,0.06,0.01,0,0,0.42,0.99,0,0,3,0.05,0.74,0.5,0,47.72
Food 356,356,1,0,0,0,0,0,0,0,0,0,5.5,1,190,1,300.2,17.48,1.14,169.1,77.9,0,7.6,0,0.96,0.01,0.37,0.81,0,0,0,5.7,0,0,0,0.19,0.52,0,0,0.63,0.17,0,17.1,0,5.28,39.9,0.18,349.6,57,47.12,4.05,38.13,2.58,2.98,5.06,0.21,5.67,1.55,1.41,0.02,2.15,0,3.35,1.23,1.48,1.8,1.8,1.77,0.37,1.5,2.47,1.43,0,0,0,0,0.08,0.04,0,0,8.93,15.35,2.17,0,125.4,0,2.47,0,0,116.03
Food 357,357,1,0,0,0,0,0,0,0,0,0,9.1,1,130,1,565.5,16.12,0.26,0,742.3,0,139.1,0,1.33,0,0.33,0.01,0,0,0,874.9,0,3.9,0,0,0.29,0,0,0.9,3.38,0,154.7,0.01,5.77,91,0.31,317.2,183.3,0.52,1.51,4.23,0.15,0,0.08,0.17,3.71,0.01,0.17,0,0.13,0.04,0,0.08,0,0,0.1,0,0,0,0.1,93.18,13.65,11.57,0,0.08,0.05,0,0,14.96,35.87,7,1.83,6.5,0,0.13,2.64,20.8,0,5.45
Food 358,358,1,0,0,0,0,0,0,0,0,0,6,1,70,1,321.3,15.4,1.96,2.1,25.2,0,37.8,8.4,1.05,0.14,0.11,0.07,0,0,0.7,8.4,0,6.3,0,0,0.18,0.28,0,0.22,23.74,0,79.1,0,2.24,7,0.07,13.3,2.8,0.14,1.26,33.4,0.01,0,0,0,0,0,0.04,0.09,0.1,0,0.01,0,0,0.45,0.06,0,0,0,0,13.01,6.37,15.53,0,0.01,0.01,0.03,0,0,17.16,7.1,4.75,0.52,46.9,0.07,0.74,0.7,0,2.42
Food 359,359,1,0,0,0,0,0,0,0,0,0,4.6,1,110,1,78.1,0,0,1.1,27.5,0,0,0,0.52,0,0.79,0,0,0,0,8.8,0,20.9,0,0,0.42,0,0,11.54,0.33,0,0,0.11,1.01,0,0.68,18.7,0,0.55,0,0,0.14,0.03,0,0,0,0,0.19,0.1,0.12,0,0,0.05,0.01,0,0.15,0.09,0,0,0.01,1.57,0.11,11.09,0,0,0.04,0.04,0,0,0.55,0.25,0,0,1.1,0.11,1.53,1.1,0,71.91
Food 360,360,1,0,0,0,0,0,0,0,0,0,8.8,1,160,1,187.2,9.76,3.52,225.6,118.4,80.48,41.6,0,0.74,1.49,0.75,0.23,408,9.6,0,6.4,0,24,0,7.09,0.56,0,0,0.51,0.24,0,73.6,0.25,4.85,27.2,1.56,323.2,531.2,46.72,5.5,32.16,2.42,2.53,3.6,0.59,5.34,2.26,1.47,0.23,2.34,2.79,3.98,1.18,1.79,1.65,1.84,1.76,0.34,1.42,1.89,8.78,0,0.24,0,0.03,0,0.03,0.02,0.13,25.98,4.29,12.13,5.4,561.6,0,4.08,0,0,116.37
Food 361,361,1,0,0,1,0,0,0,0,0,1,9.2,1,190,1,655.5,28.31,0.19,0,511.1,0,163.4,110.2,8.58,0,0.39,2.69,95,533.9,0,22.8,0,5.7,0,0,0,19.19,214.7,2.38,4.29,0,488.3,0.44,4.37,38,0.29,378.1,281.2,60.61,27.42,10.62,0.15,0,0.03,0,0,0.16,0.22,0.01,0,0,0,0.26,0,0,0.32,0,0,0.02,0.12,152.44,3.61,4.79,0,0,0.11,0.19,0,0.06,55.56,11.31,3.1,17.57,28.5,0.19,0.3,0,0,5.53
Food 362,362,1,0,0,1,0,0,0,0,0,1,6.6,1,60,1,126.6,1.8,1.98,41.4,31.8,40.32,34.8,0,0.63,0.4,0.16,0.05,0,1.2,0.6,0,0,0,0,0,0.17,0,0,0.13,0.5,0.06,3.6,0.08,1.34,12,0.08,136.8,180.6,10.38,2.72,36.11,0.27,0.78,1.21,0.14,2.23,0.61,0.52,0.01,0.77,0.98,0.25,0.46,0.5,0.51,0.58,0.68,0.05,0.48,0.77,27.48,0,0.55,0.04,0.02,0.05,0,0,0,5.64,2.01,0.9,0.56,0.6,0,0.55,0,0,33.85
Food 363,363,1,0,0,0,0,0,0,0,0,0,7.6,1,30,1,146.1,3.72,1.02,19.2,189.3,0.06,2.1,0,1.2,0.03,0.08,0.14,0,0,0,2.1,0,1.5,0,0.46,0.08,0,0,0.07,0.08,0.27,0.9,0,0.69,17.7,0.03,62.1,87.3,6.18,0.79,7.71,0.37,0.39,0.01,0,0.84,0.39,0.2,0,0.28,0.49,0.55,0.21,0.26,0.24,0.22,0.3,0.01,0.22,0,7.79,0,0,0.02,0.02,0.01,0,0,0,7.96,2.3,8.04,4.57,22.5,0,0.33,0.3,0,18.5
Food 364,364,1,0,0,1,0,0,0,0,0,1,6.3,1,40,1,42.4,0.8,0.76,35.6,34.4,27.32,3.2,0,3.33,0.65,0.11,0.05,2.4,5.2,0,0.4,0.4,0,0,0.59,0.12,0.08,0.4,0.13,0.14,0.28,4.4,0.06,1.85,8.4,0.06,85.2,135.2,14.04,2.94,11.08,0.66,0.72,0.96,0.14,2.14,0.54,0.42,0.05,0.65,0.94,0.91,0.27,0.39,0.5,0.53,0.56,0.11,0.37,0.64,0.13,0,0,0,0.02,0,0.02,0,0.04,3.47,0.66,1.63,0.56,30,0,0.47,0,0,29.58
Food 365,365,1,0,0,0,0,0,0,0,0,0,8.7,1,30,1,134.4,5.28,0.66,0,207,0,2.4,17.7,0.09,0,0.08,0.05,0,0.3,0.6,3.6,0,3.6,0,0,0.07,0,0,2.17,1.54,0,2.1,0.02,1.04,3.6,0.05,54.3,41.1,0.24,0.06,1.18,0.01,0,0.01,0,0.19,0.02,0.02,0,0,0.01,0,0.02,0,0,0.01,0,0,0.03,0,26.39,1.92,13.8,0,0.01,0.01,0.73,0,0,2.48,5.08,0,0.01,0,0,0.62,0,0,1.67
Food 366,366,1,0,0,0,0,0,0,0,0,0,2.8,1,140,1,453.6,11.06,9.1,1.4,340.2,6.3,74.2,43.4,28.93,0,2.48,0,898.8,893.2,0,788.2,1.4,149.8,0,0,0.33,20.02,0,2.7,9.3,9.1,7,0.1,6.03,22.4,2.33,29.4,1192.8,51.52,0.74,8.74,0,0.15,0.13,0,0,0,0.11,0,0.04,0,0,0.32,0,0,0,0.04,0.05,0.04,0.11,109,2.52,2.35,0,0,0.17,0.07,0,0.13,39.38,9.16,5.21,3.55,1.4,0.14,1.58,0,0,4.73
Food 367,367,1,0,0,1,0,0,0,0,0,1,2.9,1,200,1,840,108.4,4.8,4,750,33.2,592,84,7.26,0,3.89,0.49,12,0,0,6,0,10,0,0.04,0.61,0,0,2.38,67.08,4.4,78,0.26,12.6,150,2.05,596,258,2,6.2,11.22,0.03,0,0.26,0.11,0,0,0.18,0,0.06,0.04,0,0.25,0,1.21,1.92,0,0,0.05,2.52,55.4,18.8,48.74,0,0,1.76,0.02,0.04,0.02,18.34,11.25,73.36,2.01,2,0,4.98,0,0,181.56
Food 368,368,1,0,0,0,0,0,0,0,0,0,5,1,130,1,574.6,0.78,0.13,2.6,70.2,0,189.8,0,5.96,0.09,0.12,0,0,0,0,13,0,13,0,0,0.3,0,0,1.86,0.07,0,5.2,0.01,4.3,0,0,209.3,465.4,0.78,0.56,0.25,0,0,0,0.22,0,0,0.13,0.01,0.27,0,0.27,0.25,0.03,0,0.19,0.21,0,0.09,0.11,82.63,1.95,0.18,0.09,0,0.08,0.04,0,0,40.95,6.04,1.8,1.99,0,0,1.56,1.3,76.7,86.16
Food 369,369,1,0,0,1,0,0,0,0,0,1,6.9,1,200,1,536,20.6,6.4,0,698,0,32,0,7.83,0.09,1.83,0.34,0,0,2,14,0,4,0,0,0.28,0,2,71.04,0.54,0,232,0.86,8.36,26,0.45,386,14,64.2,1.12,24.42,0.46,2.19,0.97,0.28,1.29,0.01,0,0.08,0.24,0.99,0,0.2,1.03,1.67,0.14,0.15,0,0,1.25,115.74,2,12.54,0.16,0,0,3.82,0.06,0.2,20.74,10.67,2.05,1.81,168,0,2.56,0,0,9.1
Food 370,370,1,0,0,1,0,0,0,0,0,1,7.5,1,80,1,75.2,6.8,2.8,72.8,42.4,0,4.8,0,0.91,0.45,0.31,0.08,0,0,0,0,0.8,8.8,0,0,0.28,0,0,0.09,0.19,0,9.6,0.05,2.32,16,0.18,217.6,284.8,29.12,4.78,8.06,1.08,1.08,1.73,0.18,2.85,1.11,0.71,0,1.04,1.66,1.94,0.77,0.86,0.62,0.61,0.94,0,0.59,1.09,0.34,1.52,0.09,0,0.02,0.03,0.04,0,0.03,11.14,6.47,4.98,0.72,56,0.08,1.67,0.8,0,47.21
Food 371,371,1,0,0,0,0,0,0,0,0,0,2.4,1,50,1,21,0.1,0,0,161.5,0,94,4,0.7,0,0.15,0.12,641,6.5,0,94.5,0,70,0,0,0.12,11,0,0.23,0.21,4.2,29.5,0.02,1.6,3.5,0.14,43.5,129,3.7,0.26,2.79,0.07,0,0.11,0.01,0.25,0,0.09,0.01,0.03,0,0,0.08,0,0,0.08,0.05,0,0.01,0.07,14.35,1.9,2.83,0.81,0.05,0,0.02,0,0.03,0.29,0,0,0,1.5,0,0.62,0.5,0,3.71
Food 372,372,1,0,0,0,0,0,0,0,0,0,4.4,1,190,1,870.2,7.98,1.52,140.6,98.8,165.68,45.6,0,18.51,1.93,0.59,0.24,1048.8,30.4,0,17.1,0,5.7,0,6.9,0.88,0,0,0.4,0.29,0.57,26.6,1.82,7.28,43.7,0.43,437,611.8,60.42,9.88,37.6,3.24,3.04,5.21,0.81,6.58,2.82,2.34,0.13,2,3.01,4.35,1.63,1.92,1.53,2.23,2.19,0.66,2.07,2.56,0.21,0,0,0,0,0.11,0.04,0,0,7.37,6.24,7.45,0.51,133,0.19,2.79,0,0,121.49
Food 373,373,1,0,0,1,0,0,0,0,0,1,2.2,1,100,1,35,10.3,0.2,23,2,0,0,0,3.55,0,0.39,0.64,0,0,776,1,0,13,0,0,0.15,30,7,0.35,0.31,1.3,0,0,2.71,0,0.19,6,0,0,0.2,0.88,0.06,0,0.06,0,0.66,0,0,0.1,0.04,0,0,0.17,0,0,0.17,0,0,0,0,21.32,9.9,49.57,0,0.02,0.08,0.1,0.08,0.05,12.07,17.47,23.26,7.02,1,0.1,0.08,0,0,0.06
Food 374,374,1,0,0,1,0,0,0,0,0,1,1.9,1,190,1,224.2,1.9,16.72,218.5,936.7,40.85,17.1,0,7.89,1.52,0.45,0,0,89.3,1.9,17.1,0,19,0,2.26,1.08,0,0,0.27,5.34,0,338.2,0.29,4.77,34.2,1.99,446.5,608,50.54,2.39,47.63,2.97,2.78,4.8,0.36,6.17,2.79,2.16,0.06,2.15,2.81,3.71,1.33,2.07,1.78,1.27,1.94,0.16,2.05,1.37,25.37,0,70.95,0.06,0,0,0.17,0.04,0,20.96,24.87,15.33,1.99,150.1,0,6,1.9,0,139.76
Food 375,375,1,0,0,0,0,0,0,0,0,0,2.2,1,180,1,495,31.32,4.68,3.6,1044,0,30.6,108,14.44,0.86,0.4,0.97,0,43.2,1.8,12.6,0,0,0,0,0.25,0,0,0.58,43.15,0,876.6,0.36,4.1,158.4,0.32,369,4806,67.5,0.41,34.34,1.13,0.16,0,0.09,1.85,0,0.19,0,1.87,2.72,0.76,0.26,0.79,1.9,1.95,0.1,0.23,1.4,1.72,26.08,62.28,45.09,0,0,0.02,0.04,0,0,14.17,11.78,6.22,14.87,0,0,5.08,0,0,4.03
Food 376,376,1,0,0,0,0,0,0,0,0,0,7.9,1,40,1,198,8.68,0.92,0.4,126,10.52,42.8,24.4,1.39,0.31,0.13,0.18,487.2,15.6,0,7.6,0,1.6,0,0.02,0.3,0.12,0,0.41,0.38,0,14,0.07,1.08,46.8,1.27,117.2,146.8,0.44,0.58,4.86,0.21,0.14,0.04,0.05,0.01,0.03,0.07,0,0.04,0.12,0.86,0.05,0.02,0.31,0.01,0.35,0.05,0.02,0.43,29.53,1.44,13.9,0.19,0.02,0.2,0,0.02,0,4.48,1.44,3.33,2.38,0.4,0,1.09,0,0,1.24
Food 377,377,1,0,0,0,0,0,0,0,0,0,7.6,1,80,1,116.8,12.4,1.04,57.6,559.2,63.2,5.6,83.2,3.11,0.06,0.33,0.54,21457.6,234.4,0,11.2,0,0,0,0,0.14,0,0,0.24,0.14,0,28.8,0.12,2.13,14.4,0.15,166.4,136.8,31.44,2.62,6.5,1.24,0.88,2.09,0.18,2.7,0.8,0.85,0.02,1.04,0.58,1.71,0.06,0.78,0.36,0.87,0,0.12,0.54,0.69,64.44,0,1.1,0.05,0.03,0.05,0.07,0.01,0.05,6.33,6.59,1.67,0.08,51.2,0.08,2.29,0.8,0,49.63
Food 378,378,1,0,0,1,0,0,0,0,0,1,2.2,1,180,1,743.4,23.4,10.98,30.6,70.2,0,86.4,57.6,2.65,0,2.92,1.53,0,1.8,0,10.8,0,12.6,0,0,4.02,82.8,0,0.38,1.15,0,275.4,0,5.56,30.6,0.03,333,136.8,1.08,0.18,14.36,0,0,0.11,0.03,0,0,0.21,0,0.23,0,0,0.05,0,0,0.01,0.04,0,0,0,91.46,14.58,87.64,0,0.04,0.13,0.27,0,0,16.63,5.72,9.76,3.46,1.8,0,2.77,1.8,93.6,9.27
Food 379,379,1,0,0,0,0,0,0,0,0,0,5.4,1,200,1,734,28,2.4,4,1042,177.8,142,0,7.46,0.39,0.31,1.11,0,6,2,0,0,0,0,3.44,0.38,0.2,0,4.66,0.22,0.4,8,0.42,4.4,46,0.18,408,694,73.6,14,11.9,1.43,2.38,0.28,0.28,2.31,1.92,0.43,0.11,1.69,3.17,0.84,1.05,1.53,1.45,1.49,1.57,0.16,0.94,1.99,165.54,18.8,0,0.14,0.14,0.08,0.06,1.3,0.1,14.64,7.27,9.65,17.43,0,0,4.62,2,0,7.92
Food 380,380,1,0,0,1,0,0,0,0,0,1,7.3,1,10,1,0,0,0,0.2,0,0,8.6,0,0.09,0.03,0.03,0,128.2,0.7,0.2,2.5,0,2.2,0,0,0.04,1.37,0,0.19,0.43,0.82,40.8,0,0.36,1,0.03,2.7,14.3,0.78,0.02,0.09,0.03,0.01,0.03,0.02,0,0.01,0.02,0.02,0.03,0.05,0.02,0.02,0.02,0,0.02,0.01,0,0.01,0.01,2.09,0.38,0,0.13,0.01,0.03,0,0,0,0.03,0,0,0,0.2,0.01,0.11,2.3,0,7.84
Food 381,381,1,0,0,1,0,0,0,0,0,1,6.7,1,200,1,800,14,16,4,882,0,8,0,6.6,0.06,0.23,0,0,0,2,16,0,28,0,0.6,0.38,0.6,0,10.04,14.02,0,176,0.05,3.74,18,2.26,10,328,26.2,0,8.62,0.1,0,0,0,0.06,0,0.3,0,0.29,0,0,0.16,0.08,0,0,0,0,0.07,0,151.4,10,67.58,0.02,0.08,0.12,0.16,0.18,0,1.86,16.83,0.06,1.07,0,0.2,2.14,2,0,5.38
Food 382,382,1,0,0,0,0,0,0,0,0,0,6.9,1,100,1,147,7.9,3.8,82,63,52.6,8,0,3.41,0.8,0.27,0.11,0,0,0,11,0,12,0,1.24,0.97,0.2,0,4.32,0.23,0.6,10,0.18,2.59,13,0.09,216,559,0.8,2.34,21.89,1.31,1.53,2.29,0.1,3.64,2.43,0.82,0.06,0.91,1.7,1.97,0.85,0.94,0.05,1.05,1.08,0.24,0.83,1.07,8.72,8.1,0,0.02,0.02,0.17,0.05,0.01,0,3.95,3.15,1.38,0.01,64,0.1,1.15,0,0,70.24
Food 383,383,1,0,0,0,0,0,0,0,0,0,9.8,1,120,1,508.8,15.72,1.44,106.8,844.8,60.12,22.8,58.8,0.39,0.65,0.37,0.06,75888,4.8,2.4,4.8,0,8.4,0,1.57,0.44,0.24,48,1.12,0.31,0.72,134.4,0.09,2.88,14.4,0,242.4,178.8,50.4,2.16,18.76,1.6,1.83,2.57,0.3,3.62,1.3,0.93,0.15,1.36,1.96,1.86,0.69,0.88,0.95,0.91,1.26,0.13,1.05,1.44,0.79,12,0,0,0.11,0.1,0.11,0.04,0,4.76,18.9,9,0.14,86.4,0,4.18,1.2,0,54.04
Food 384,384,1,0,0,1,0,0,0,0,0,1,3.6,1,150,1,0,0,0,6,21,0,1.5,0,0,0,0.37,0,0,0,0,22.5,0,46.5,0,0,0.25,0,0,0.33,0.2,0,0,0,1.19,0,0,36,187.5,1.95,0,0,0.44,0,0.46,0,0.08,0,0.44,0.1,0.18,0,0,0.32,0,0.11,0.19,0,0,0,0.06,3.23,0.45,0,0,0.03,0.06,0.06,0,0.14,128.22,2.35,0.14,0,0,0.15,1.76,43.5,0,116.49
Food 385,385,1,0,0,1,0,0,0,0,0,1,3.9,1,70,1,105,10.01,2.03,53.9,59.5,0,0,0,0.24,0.03,0.13,0.03,0,0,0.7,2.8,0,0,0,0.2,0.17,0,0,0.26,0.2,0,5.6,0.01,1.53,0,0,12.6,38.5,0.35,0.8,7.55,0.06,0,0.01,0.02,0,0,0.03,0.07,0.04,0,0,0.01,0.05,0,0.08,0.02,0,0,0.09,0.03,0,0,0,0.01,0.04,0.01,0.01,0,10.44,3.89,4.07,1.31,0,0,0.19,0,0,1.58
Food 386,386,1,0,0,0,0,0,0,0,0,0,3.7,1,110,1,283.8,8.58,6.27,93.5,78.1,0.22,7.7,0,21.46,0.35,0.21,0.58,0,0,2.2,4.4,0,0,0,0.08,0.59,0,0,0.22,0.34,0.77,17.6,0.07,2.97,302.5,0.01,248.6,455.4,24.42,2.84,20.75,1.8,1.2,3.45,0.4,4.3,1.17,1.03,0.03,1.61,2.05,2.16,0.73,0.97,1.01,1.28,0.93,0.2,0.94,1.25,0.12,0.11,0,0,0.03,0.14,0,0,0.04,16.03,0.98,1.27,0,75.9,0,1.64,0,0,85.7
Food 387,387,1,0,0,0,0,0,0,0,0,0,2.6,1,40,1,146,0.44,1.44,0,247.6,17.92,20.8,6,1.54,0.03,0.09,0,0,20.8,0,2.8,0,4.4,0,0.04,0.04,0,0.4,0.44,1,0.28,4,0.07,1,5.6,0.03,64,49.2,0.28,0.05,6.2,0.06,0.2,0,0.09,0.28,0,0.03,0.02,0.07,0.78,0.76,0.07,0.27,0.3,0.01,0.01,0,0,0.21,30.43,2.4,12.64,0,0,0,0.02,0,0,10.52,0.06,2.77,1.6,0,0,0.47,0,0,0.96
